Symbol,PnL_Numeric,Size_USDT_Abs,pnl_percent,ROI(%),liquidity_status
RENDERUSDT,-14598.17,200273.6,-7.29,-7.289113492741929,normal
NEARUSDT,-4269.94,100075.68,-4.27,-4.266710953150656,normal
WIFUSDT,-6280.27,230339.13,-2.73,-2.7265319618077917,normal
SEIUSDT,-22033.08,1165956.05,-1.9225,-1.889700731000967,normal
LTCUSDT,-7500.83,600645.76,-1.25,-1.2487942976572413,normal
FILUSDT,-1352.07,150018.14,-0.9,-0.9012710062929722,normal
ARBUSDT,-4433.57,500410.94000000006,-1.05,-0.8859858259693522,normal
TRXUSDT,-179.09000000000015,1531187.08,0.41750000000000004,-0.011696154071519475,normal
XRPUSDT,13918.579999999998,10287381.21,0.6877777777777778,0.13529760116666267,normal
BTCUSDT,165026.33,85419122.96000001,0.3975,0.19319600141209406,normal
