year_month,month_total_seconds,month_position_seconds,month_position_ratio
2023-10,2678399.0,1342800.0,50.13442732020136
2023-11,2591999.0,2484000.0,95.83337030608422
2023-12,2678399.0,2142000.0,79.97314813812281
2024-01,2678399.0,2502000.0,93.41401337142076
2024-02,2505599.0,1875600.0,74.85635171469976
2024-03,2678399.0,2541600.0,94.89250854708354
2024-04,2591999.0,2181600.0,84.16669913838702
2024-05,2678399.0,1724400.0,64.3817444674972
2024-06,2591999.0,0.0,0.0
2024-07,2678399.0,3600.0,0.1344086523329795
2024-08,2678399.0,1432800.0,53.49464362852585
2024-09,2591999.0,2365200.0,91.25003520448888
2024-10,2678399.0,2170800.0,81.04841735678664
2024-11,2591999.0,2430000.0,93.75003616899544
2024-12,2678399.0,1688400.0,63.03765794416739
2025-01,2678399.0,2239200.0,83.60218175111326
2025-02,2419199.0,1479600.0,61.16073956710465
2025-03,2678399.0,2199600.0,82.12368657545048
2025-04,2591999.0,777600.0,30.00001157407854
